bertopic_id,safety_score,cascade_score_full,risk_level_full,bertopic_count,cascade_score_family,risk_level_family,trend_direction_full,decay_probability_full,trend_direction_family,decay_probability_family,lifecycle_stage_full,lifecycle_stage_family,risk_changed,trend_changed,lifecycle_changed
48,0,0.0,NON_SAFETY,31,0.0,NON_SAFETY,nascent,0.01,growing,0.01,growing,growing,False,True,False
49,0,0.0,NON_SAFETY,31,0.0,NON_SAFETY,emerging,0.01,growing,0.01,mature,growing,False,True,True
50,0,0.0,NON_SAFETY,30,0.0,NON_SAFETY,declining,0.9285714285713648,declining,0.9285714285713648,saturated,saturated,False,False,False
51,0,0.0,NON_SAFETY,28,0.0,NON_SAFETY,declining,0.769230769230813,declining,0.7999999999999796,saturated,declining,False,False,True
52,1,1.2240845134346543e-114,NON_SAFETY,31,1.9978847804427455e-98,NON_SAFETY,declining,1.7486921620495063e-114,declining,2.8541211149182082e-98,mature,mature,False,False,False
53,1,0.6363636363636362,NON_SAFETY,29,1.0909090909090906,NON_SAFETY,declining,0.909090909090909,declining,0.909090909090909,mature,saturated,False,False,True
54,0,0.0,NON_SAFETY,28,0.0,NON_SAFETY,declining,0.7777777777758327,declining,0.7272727272730406,mature,mature,False,False,False
55,0,0.0,NON_SAFETY,8,0.0,NON_SAFETY,growing,0.01,growing,0.01,declining,declining,False,False,False
56,0,0.0,NON_SAFETY,13,0.0,NON_SAFETY,declining,4.713705508257847e-62,declining,0.7999995461228582,saturated,mature,False,False,True
57,0,0.0,NON_SAFETY,24,0.0,NON_SAFETY,growing,0.01,growing,0.01,growing,growing,False,False,False
58,0,0.0,NON_SAFETY,5,0.0,NON_SAFETY,growing,0.01,growing,0.01,saturated,saturated,False,False,False
59,0,0.0,NON_SAFETY,25,0.0,NON_SAFETY,nascent,0.01,growing,0.01,saturated,saturated,False,True,False
60,0,0.0,NON_SAFETY,19,0.0,NON_SAFETY,declining,1.4380535167651524e-47,declining,0.0,growing,growing,False,False,False
61,0,0.0,NON_SAFETY,26,0.0,NON_SAFETY,declining,3.3827008794095725e-25,declining,0.0,mature,mature,False,False,False
62,3,0.06,MEDIUM,9,1.8637952022084245e-40,LOW,growing,0.01,declining,8.875215248611545e-41,declining,mature,True,True,True
63,0,0.0,NON_SAFETY,9,0.0,NON_SAFETY,growing,0.01,growing,0.01,declining,declining,False,False,False
64,1,1.8649750895470314e-24,NON_SAFETY,24,5.942015550964605e-23,NON_SAFETY,declining,2.6642501279243308e-24,declining,8.48859364423515e-23,mature,mature,False,False,False
65,4,0.008,LOW,22,0.008,LOW,growing,0.01,growing,0.01,growing,growing,False,False,False
66,0,0.0,NON_SAFETY,24,0.0,NON_SAFETY,growing,0.01,growing,0.01,growing,growing,False,False,False
67,0,0.0,NON_SAFETY,21,0.0,NON_SAFETY,growing,0.01,growing,0.01,growing,growing,False,False,False
68,0,0.0,NON_SAFETY,16,0.0,NON_SAFETY,growing,0.01,growing,0.01,growing,growing,False,False,False
69,0,0.0,NON_SAFETY,17,0.0,NON_SAFETY,declining,0.6665813548165558,growing,0.01,saturated,saturated,False,True,False
70,0,0.0,NON_SAFETY,23,0.0,NON_SAFETY,declining,1.2456497682977171e-87,declining,0.5711417366342053,mature,mature,False,False,False
71,1,6.175931280951039e-28,NON_SAFETY,22,0.17142857142857143,NON_SAFETY,declining,3.0879656404755192e-27,declining,0.8571428571428571,growing,growing,False,False,False
72,0,0.0,NON_SAFETY,22,0.0,NON_SAFETY,growing,0.01,growing,0.01,mature,mature,False,False,False
73,1,0.5384615384616644,NON_SAFETY,18,0.6125000000000003,NON_SAFETY,declining,0.7692307692309492,declining,0.8750000000000004,mature,mature,False,False,False
74,2,0.04,MEDIUM,13,0.04,MEDIUM,emerging,0.01,growing,0.01,declining,declining,False,True,False
75,0,0.0,NON_SAFETY,19,0.0,NON_SAFETY,growing,0.01,nascent,0.01,declining,declining,False,True,False
76,4,0.048,MEDIUM,5,0.048,MEDIUM,emerging,0.01,growing,0.01,saturated,saturated,False,True,False
