model,corpus_unit,k,coef,std_error,p_value,odds_ratio,ci_lower,ci_upper,n
DeepSeek,publication,25,-3.752658024160411,1.1650349189420055,0.001277133338405867,0.02345531812329116,-6.036084506018282,-1.469231542302539,1276
DeepSeek,publication,50,-3.8180766973740456,1.1261682288516743,0.0006980971941317657,0.02197001527380356,-6.025325866456589,-1.6108275282915026,1276
DeepSeek,publication,100,-3.8351356674359276,1.3170952786112482,0.00359337241167779,0.02159840807075736,-6.416594977721722,-1.253676357150133,1276
KimiMV,publication,25,-2.114038631690043,1.5045888628808606,0.1600032388703495,0.1207493183391231,-5.062978614476603,0.8349013510965175,1232
KimiMV,publication,50,-2.2633652343750814,1.3779628079582866,0.10047721139899378,0.103999911128469,-4.964122710009006,0.43739224125884313,1232
KimiMV,publication,100,-2.2233601855834904,1.6639409583692575,0.1814834639222399,0.10824477452148917,-5.484624536388297,1.037904165221316,1232
