scenario_idx,pooled_k25,safety_barrier_k25,safety_barrier_mass_k25,propagation_node_k25,propagation_node_mass_k25,other_k25,other_mass_k25,pooled_k50,safety_barrier_k50,safety_barrier_mass_k50,propagation_node_k50,propagation_node_mass_k50,other_k50,other_mass_k50,pooled_k100,safety_barrier_k100,safety_barrier_mass_k100,propagation_node_k100,propagation_node_mass_k100,other_k100,other_mass_k100
0,0.041360540829863957,0.0401702439955188,0.8429598,0.0011902968343451522,0.119029686,9.09923269285641e-31,0.038010523,0.07184160233296616,0.07065444008460703,0.8044172,0.001187162248358941,0.11871622,1.9203866143178814e-16,0.07686662,0.13736049681901266,0.09298647209952271,0.74528253,0.001291536031603902,0.1291536,0.043082488687886084,0.12556386
1,0.07072796719366241,0.06993026557439062,0.80313534,0.0007977016192713966,0.07977016,3.921913919746774e-16,0.117094524,0.055814073043268464,0.05540044422778262,0.8013459,0.0004136288154851604,0.04136288,6.918649978674946e-16,0.15729119,0.08603840412088999,0.08524865622357371,0.7533394,0.0007897478973155674,0.0789748,6.97063769003175e-16,0.16768567
2,0.04077043273100684,0.03997883496224841,0.88329285,0.0007915977687584317,0.079159774,8.98835350134169e-31,0.037547342,0.08538038257043817,0.08477301595794129,0.82634324,0.0006073666124966087,0.06073666,2.825163270679239e-16,0.11291999,0.14538683503816707,0.09212506831268491,0.7383201,0.0012621887908549365,0.12621889,0.05199957793462721,0.13546112
3,0.16336172223170858,0.16256194285267347,0.88162374,0.0007997793790351099,0.07997794,5.9781837784156676e-36,0.0383983,0.16740966865666765,0.149983062670266,0.824696,0.0004161955562382251,0.041619554,0.017010410430163415,0.13368438,0.12334982766853972,0.10467438375029203,0.77539337,0.0012612535239447718,0.12612535,0.017414190394302927,0.09848126
4,0.009625283938502188,0.008839882307851455,0.8839883,0.0007854016306505408,0.07854016,1.8954261369652839e-16,0.0374716,0.009045348951151017,0.00806505546117853,0.8065055,0.0009802934899721025,0.098029345,3.8523438000970087e-16,0.095465116,0.03966561492204438,0.038488034680829085,0.8224916,0.0011775802412150884,0.11775802,2.0317665622823665e-16,0.059750408
5,0.16149798891399286,0.16070799010324022,0.8036933,0.0007899988107522316,0.07899988,3.970179885022704e-16,0.11730679,0.13398090035666202,0.13338138236088848,0.8220843,0.0005995179957731438,0.0599518,3.982213780301511e-16,0.11796392,0.14638322537620307,0.10275776417110057,0.7166465,0.0006956422167906529,0.069564216,0.04292981898831186,0.21378928
6,0.040580396958283124,0.039807220894325625,0.92268246,0.0007731760639574995,0.0773176,0.0,0.0,0.05495944730893344,0.05455281809284297,0.86373204,0.00040662921609018333,0.040662922,2.890940557969077e-16,0.09560506,0.07098813791972516,0.06992451332766134,0.81477386,0.0010636245920635256,0.10636246,2.960156262226897e-16,0.07886362
7,0.03960153934674523,0.03881459007643414,0.84433085,0.0007869492703108909,0.078694925,1.9507458051132112e-16,0.076974295,0.08455220729917752,0.08395660121303049,0.8237786,0.0005956060861466366,0.059560604,3.9357251897137754e-16,0.11666069,0.07852761211130621,0.07754714816112414,0.80258,0.0009804639501816603,0.0980464,3.996935572183026e-16,0.099373646
8,0.03972060986540031,0.03893423825499828,0.88229644,0.0007863716104020259,0.07863716,9.352006676793968e-31,0.039066445,0.08425564610266628,0.08346206124343679,0.8054323,0.0007935848592291181,0.07935849,3.8027822606172085e-16,0.115209185,0.10929216733966289,0.09940131809703996,0.7655927,0.00126756109515016,0.12675612,0.008623288147472775,0.10765127
9,0.009212981653908471,0.008440661726768559,0.8440662,0.0007723199271395149,0.07723199,3.9809742715057324e-16,0.07870182,0.05300602488669051,0.052411801532324685,0.74718183,0.0005942233543649365,0.059422333,8.844431991947685e-16,0.19339591,0.06896260313110816,0.0681721721027833,0.66814154,0.0007904310283236874,0.0790431,1.1829424190815476e-15,0.2528153
10,0.07216852429889004,0.0709844849148436,0.76309264,0.0011840393840460391,0.11840394,3.9260795043888115e-16,0.118503414,0.11628985486292626,0.11567490643968525,0.76152104,0.0006149484232403061,0.061494846,6.888478564289871e-16,0.17698413,0.1102812455424838,0.10929386690671265,0.7415247,0.000987378635770539,0.098737866,6.526052512964275e-16,0.15973742
