topic,covariate,coefficient,std_error,t_value,p_value,ci_lower,ci_upper,q_value,nominal,bh_retained
1,C1_std,0.103142842329073,0.0425088847321336,2.42638316622559,0.0153402017439877,0.0197752665576538,0.186510418100492,0.08367382769447837,True,False
1,C2_std,0.0269892238206072,0.0087922494270807,3.06966084668601,0.0021725297277753,0.0097460398384293,0.0442324078027849,0.02005412056407969,True,True
1,C3_std,-0.0073312298500139,0.0064216608839854,-1.14164076591102,0.253743398614833,-0.0199252629256293,0.0052628032256014,0.5480005282347878,False,False
1,C4_std,0.008931113668825,0.0303470902254744,0.294298847186606,0.768560844951839,-0.0505849936051412,0.0684472209427912,0.9172335355962435,False,False
1,C5_std,-0.12027400345862,0.0134863004894547,-8.91823547552314,1.06358556570006e-18,-0.146723066637189,-0.0938249402800498,1.276302678840072e-16,True,True
1,C6_std,-0.0122766194926801,0.0091530120992686,-1.34126551560672,0.179990293721767,-0.0302273240225891,0.005674085037229,0.4799741165913787,False,False
1,C7_std,-0.0021819925704581,0.00983878954013,-0.221774493860071,0.824512634202126,-0.0214776301213959,0.0171136449804796,0.9311746993312833,False,False
1,C8_std,-0.165172943941248,0.0337770466164544,-4.89009432401896,1.09033219207814e-06,-0.231415813187907,-0.0989300746945888,1.8691409007053826e-05,True,True
1,C9_std,-0.0205041601345321,0.0079229524795499,-2.58794435375646,0.0097266770265826,-0.0360424963043571,-0.004965823964707,0.0583600621594956,True,False
1,C10_std,0.006003631411646,0.0083272592960607,0.720961266870376,0.471019679878685,-0.0103276232121154,0.0223348860354075,0.7246456613518231,False,False
2,C1_std,-0.0164460784414082,0.0241516235042986,-0.680951259383496,0.495983099088585,-0.0638117601144296,0.0309196032316133,0.7439746486328775,False,False
2,C2_std,0.0072924432241622,0.0049953580117857,1.45984396052434,0.144493875858927,-0.002504353143871,0.0170892395921955,0.41394843695941147,False,False
2,C3_std,-0.0098970980085507,0.0036484969417477,-2.7126507618257,0.0067333425791597,-0.0170524573448313,-0.0027417386722702,0.04752947702936259,True,True
2,C4_std,-0.0076250837933015,0.0172418425511548,-0.442242977841766,0.65836238237652,-0.0414394410595533,0.0261892734729501,0.8375216244265162,False,False
2,C5_std,0.0430038668442406,0.0076623052789933,5.61239278238342,2.28075832404706e-08,0.0279767067586375,0.0580310269298438,9.12303329618824e-07,True,True
2,C6_std,-0.0059403815070096,0.0052003270268043,-1.14230921947615,0.253465605163885,-0.0161391590137634,0.0042583959997441,0.5480005282347878,False,False
2,C7_std,0.016895802741568,0.0055899547167283,3.02252944751163,0.0025393265361236,0.005932895190776,0.0278587102923601,0.02176565602391657,True,True
2,C8_std,0.0332470331449082,0.0191905884642296,1.73246553678534,0.0833486607925621,-0.0043891656867304,0.0708832319765468,0.30308603924568034,False,False
2,C9_std,0.0004334361273644,0.0045014628479276,0.0962878384221291,0.923301853868011,-0.0083947429091266,0.0092616151638556,0.9634454127318375,False,False
2,C10_std,-0.0061388658833635,0.0047311716740736,-1.29753606638372,0.19460012075316,-0.0154175452820673,0.0031398135153402,0.49685137213572766,False,False
3,C1_std,0.0408153652467,0.0205905257659713,1.9822400705354,0.0475924025157583,0.0004336373377021,0.0811970931556978,0.1969340793755516,True,False
3,C2_std,0.0011930667538807,0.0042588047065911,0.280141221792646,0.779398843588887,-0.0071592159820628,0.0095453494898243,0.9172335355962435,False,False
3,C3_std,-0.0008703767216049,0.0031105350028644,-0.279815761855562,0.779648505256807,-0.0069706958472423,0.0052299424040325,0.9172335355962435,False,False
3,C4_std,-0.0320279175205124,0.0146995750922991,-2.17883287914161,0.0294633312233267,-0.0608564306192941,-0.0031994044217307,0.1473166561166335,True,False
3,C5_std,-0.0447465101385417,0.006532517130609,-6.84981137345597,9.875427793248259e-12,-0.0575579522710723,-0.0319350680060112,5.925256675948955e-10,True,True
3,C6_std,0.0067211866331221,0.0044335515423149,1.51598251852346,0.129685685589679,-0.0019738061070903,0.0154161793733346,0.4095337439674074,False,False
3,C7_std,0.002465843207141,0.0047657295835587,0.517411482105059,0.604927571933366,-0.0068806104734725,0.0118122968877546,0.7890359633913469,False,False
3,C8_std,-0.0293352379005896,0.0163609831929743,-1.79299969656999,0.0731277419895037,-0.0614220713856406,0.0027515955844613,0.27422903246063884,False,False
3,C9_std,0.0019887664176214,0.0038377331750936,0.518213832719871,0.60436781547211,-0.0055377192401698,0.0095152520754127,0.7890359633913469,False,False
3,C10_std,-0.0118544786225215,0.0040335719973817,-2.9389530248168,0.0033318903655995,-0.0197650394673936,-0.0039439177776493,0.02582826721197075,True,True
4,C1_std,-0.000451061010326,0.0393052048297156,-0.0114758595529568,0.990844962511074,-0.0775356437393446,0.0766335217186926,0.997563360393595,False,False
4,C2_std,-0.0364707708285343,0.0081296220030944,-4.48615825122648,7.67386858350198e-06,-0.0524144231404389,-0.0205271185166297,0.0001151080287525297,True,True
4,C3_std,-0.0088721027296761,0.0059376927431177,-1.49420037605678,0.135284880015856,-0.0205169871529808,0.0027727816936284,0.41394843695941147,False,False
4,C4_std,0.0409236213065967,0.0280599833379412,1.45843355691741,0.144881952935794,-0.0141070576164435,0.0959543002296369,0.41394843695941147,False,False
4,C5_std,0.0230860925175294,0.0124699061495821,1.85134452822671,0.0642709477002502,-0.0013696383805791,0.0475418234156378,0.24879076529129107,False,False
4,C6_std,0.0064577603630031,0.0084631958151248,0.76304040507514,0.445531501926291,-0.0101400902470937,0.0230556109731,0.7128504030820656,False,False
4,C7_std,0.0464944229668247,0.0090972896745735,5.11079943917517,3.52119431479195e-07,0.0286530001433684,0.0643358457902809,7.0423886295839e-06,True,True
4,C8_std,0.0062329423891111,0.031231441242659,0.199572678720876,0.841835583839613,-0.055017536437961,0.0674834212161832,0.9311746993312833,False,False
4,C9_std,0.0087377692789387,0.0073258395751185,1.19273281776682,0.233118989595255,-0.0056295209879422,0.0231050595458199,0.5453037542177884,False,False
4,C10_std,0.0098390485697173,0.0076996758292838,1.27785231324894,0.201453446303747,-0.0052614018927704,0.024939499032205,0.5036336157593675,False,False
5,C1_std,-0.0299949125282691,0.0437450411629207,-0.685675718455912,0.492999044964571,-0.115786813603877,0.0557969885473391,0.7439746486328775,False,False
5,C2_std,0.0148220820782548,0.009047927639738,1.63817425032854,0.101546515226199,-0.0029225329083148,0.0325666970648245,0.34191925013307667,False,False
5,C3_std,-0.0107932338682606,0.0066084024898424,-1.63325915527246,0.102575775039923,-0.023753500851777,0.0021670331152558,0.34191925013307667,False,False
5,C4_std,-0.0230476099731931,0.0312295822262475,-0.738005709017213,0.460599690820341,-0.0842944429344064,0.0381992229880201,0.7246456613518231,False,False
5,C5_std,0.0036980221603586,0.0138784814930876,0.266457260630458,0.789915213955339,-0.0235201785701019,0.0309162228908191,0.9202895696567057,False,False
5,C6_std,-0.0133992455172635,0.0094191812739924,-1.42254885297308,0.155026758123996,-0.0318719557168493,0.0050734646823222,0.42615908523312274,False,False
5,C7_std,-0.0105095089045549,0.0101249010915818,-1.03798632791513,0.299404978726177,-0.0303662627161293,0.0093472449070194,0.6089592787651058,False,False
5,C8_std,0.0427566861112561,0.0347592815927666,1.23007968381469,0.218815490935132,-0.0254125227542623,0.110925894976775,0.5251571782443167,False,False
5,C9_std,2.49025433460396e-05,0.0081533515765889,0.0030542707636382,0.997563360393595,-0.0159652877341814,0.0160150928208734,0.997563360393595,False,False
5,C10_std,-0.0033982608383037,0.0085694156168986,-0.396556893751591,0.691737592045166,-0.020204427602273,0.0134079059256655,0.8557578458290714,False,False
6,C1_std,-0.0033387702721548,0.0233480541950863,-0.142999936708107,0.886304990240088,-0.0491285078644156,0.042450967320106,0.9558982134766393,False,False
6,C2_std,-0.0028616555721309,0.0048291531855931,-0.592579167020033,0.553531462194059,-0.0123324943543914,0.0066091832101295,0.7634916719918056,False,False
6,C3_std,-0.003598294031586,0.003527104681446,-1.0201835093,0.3077678570897,-0.0105155812913456,0.0033189932281735,0.6155357141794,False,False
6,C4_std,-0.0033591630523134,0.01666817447017,-0.201531550940097,0.840303959765589,-0.036048453935137,0.0293301278305101,0.9311746993312833,False,False
6,C5_std,0.0189550354345402,0.0074073661707003,2.55894402919035,0.0105738817877565,0.0044278568366106,0.0334822140324698,0.06042218164432286,True,False
6,C6_std,0.0003066161006297,0.0050273025013159,0.0609901832144462,0.951373270790336,-0.0095528291622915,0.0101660613635509,0.9841792456451751,False,False
6,C7_std,-0.0116594860173645,0.0054039665553341,-2.15757923332364,0.0310822248141724,-0.0222576373004886,-0.0010613347342403,0.14919467910802753,True,False
6,C8_std,0.0076797390483084,0.0185520819922803,0.413955643981308,0.678952069563057,-0.0287042336424608,0.0440637117390777,0.8486900869538212,False,False
6,C9_std,-0.0056477657142108,0.0043516908298888,-1.29783248281799,0.194498241787578,-0.0141822148600927,0.0028866834316709,0.49685137213572766,False,False
6,C10_std,-0.0014827383367514,0.0045737568173363,-0.324183903073121,0.745833540887233,-0.0104526988622295,0.0074872221887266,0.9040406556208885,False,False
7,C1_std,-0.0438030883635116,0.0369754119869481,-1.1846545044305,0.236298293494375,-0.1163185278987,0.0287123511716769,0.5453037542177884,False,False
7,C2_std,0.0072377768205384,0.0076477434519134,0.9463937782494,0.344064913233812,-0.0077608249006167,0.0222363785416937,0.6255725695160218,False,False
7,C3_std,0.0293493627504394,0.0055857395065069,5.25433789317415,1.64779113210156e-07,0.0183947219857497,0.0403040035151292,4.94337339630468e-06,True,True
7,C4_std,0.0256429375326346,0.0263967443691548,0.971443189130508,0.331447987152736,-0.0261258303421617,0.0774117054074309,0.6255725695160218,False,False
7,C5_std,0.0127006801156979,0.0117307598145574,1.08268179695716,0.27908340836137,-0.0103054517520046,0.0357068119834004,0.577413948333869,False,False
7,C6_std,0.0154308683225571,0.0079615448729038,1.93817513672179,0.0527458844430565,-0.0001831544783664,0.0310448911234806,0.210983537772226,False,False
7,C7_std,0.0029678961962108,0.0085580531926819,0.346795717365805,0.728782175614447,-0.013815986808309,0.0197517792007307,0.892386337487078,False,False
