"topic","prevalence"
4,0.139670666448904
1,0.132586779915423
11,0.12279479801116
5,0.113805230847239
9,0.0995725307980649
7,0.085617875682614
3,0.0618373350582795
2,0.0600065058771378
12,0.0496617827893006
10,0.0487961416397119
6,0.0478808003837123
8,0.0377695525484533
