"topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10","topic_11","topic_12","doc_id"
0.0486982213042466,0.30598814578313,0.00364026949688565,0.00205230723055052,0.0381469793110221,0.132683489643393,0.00287982049991743,0.00113007166612429,0.00310098585925937,0.00343510699353302,0.374151427709625,0.0840931745023136,6285
0.0873901374376422,0.00744649036834991,0.00836931657616301,0.0769999256232164,0.302139020915075,0.00295440247950993,0.00165599838948754,0.221647172680797,0.134041174014319,0.128672792380114,0.0124762605694427,0.0162073085658822,50
0.743888142903353,0.000166689546802784,0.0100524867798761,0.000381493131427775,0.0037897816879712,0.00184785991385299,0.0111263484980171,0.175485649370951,0.00283832808725406,0.0488983729852382,0.000706286670819523,0.000818560424436896,719
0.0204064021952861,0.0574790936945084,0.000994035455162973,0.00235185064771993,0.348880047789489,0.0022594689144293,0.000906137276445475,0.000378428312522258,0.00122046507520032,0.00181303285861644,0.0670869958482713,0.496224041932348,729
0.443744855841256,0.000437325867765946,0.465937460286025,0.000458410346081248,0.0048530515995239,0.00197755796063547,0.00444506434075436,0.00329649750425667,0.0516948859337333,0.00252815778114244,0.00727416391000701,0.0133525686288181,5339
2.77243523788783e-05,0.0292817111242821,0.00177976916367192,0.94855010761337,5.96866512472405e-05,0.00166435355128631,0.00612762222786996,0.000555838248899306,0.00198027188119752,0.000265654721733468,0.00872409346558176,0.000983166998482009,2711
0.185151862689887,0.000213861860021046,0.0128207360549614,5.46709253497073e-05,0.783561015635041,0.000207922996707505,0.000369990135884272,0.0101787872223928,0.0022145373891611,0.00377982935822847,0.000979754810048611,0.000467030922317463,4921
0.00102696294036431,0.0860567232515465,0.0050114042673938,0.156969415648519,0.000801382677848796,0.00228594870475359,0.171535894287208,0.00117109777958867,0.348949940016812,0.206704941116869,0.00256984680967009,0.0169164424994257,604
0.698775696431274,0.000639823010910662,0.067863041814961,0.00138748682306476,0.121287767399504,0.00142950785182865,0.00224562094410699,0.016930827876403,0.0112400773773961,0.0150421603922001,0.00413313494983797,0.0590248551285125,2263
2.29693090747209e-05,0.00344366572942625,0.00165480153714292,0.196702654064411,9.2377531565887e-06,0.00360167877372922,0.774295913416397,0.000147784450331817,0.0154098670652157,0.000336851550643935,0.00154277068694363,0.00283180566352781,1793
0.000215160514407628,0.0142118856940035,0.00122910327206287,0.959299285776516,0.000375264425631707,0.0030580024464683,0.00331893640149688,0.000203728787920058,0.00510033472917243,0.00166794524448198,0.00433647222712066,0.0069838804807181,74
