bertopic_id,bertopic_name,n_years_active,hmm_fitted,current_state,current_state_name,decay_probability,trend_direction,viterbi_path,hmm_score
61,61_food_food weight_weight_feeder,10,True,3,mature,0.01,growing,"2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3",0.1635300653357698
62,62_electrode_measurement electrode_108_elements,5,True,3,mature,0.01,growing,"3,2,1,2,2,1,3",1.4826675855832623
63,63_primitives_minimanipulations_actions_movements,6,True,2,growing,0.01,growing,"2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2",2.472279464258817
64,64_charging_wireless_wireless electromagnetic_electromagnetic,11,True,3,mature,0.01,growing,"1,1,1,1,1,1,1,1,1,1,1,2,3,2,0,3,2,0,3",2.0611012820878716
65,65_social_reasoning_instruction_remote,8,True,2,growing,0.01,growing,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2",2.4722794642487673
66,66_magnetic_powder_material_adhesive,8,True,3,mature,0.01,growing,"2,2,2,2,3,2,2,2,2,2,2,2,3",2.0502649241973936
67,67_dance_music_playing_piano,10,True,4,declining,4.959960193585083e-16,declining,"2,4,2,2,4,3,2,4,3,4,3,2,4,2,2,4,3,2,4",1.887774450040117
68,68_animation_bone_skeleton_digital,6,True,3,mature,0.01,growing,"3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3",2.188031071190713
69,69_embodiments_agricultural_various embodiments_interfaces,8,True,0,nascent,0.01,nascent,"0,1,0,2,2,2,2,1,0,3,0",1.313150131419212
70,70_elevator_main elevator_floor_secondary elevator,10,True,3,mature,0.01,growing,"2,2,2,3,2,2,3,2,2,2,2,2,3",1.0834434828115673
71,71_moving_double mechanical_mechanical_double,8,True,3,mature,0.01,mature,"3,2,2,2,2,2,2,2,3,2,3",1.743135042701973
72,72_cleaning_mechanism_chassis_cleaning mechanism,7,True,2,growing,0.01,growing,"3,2,2,2,3,2,2,2,2",1.3027845691780864
73,73_power_supply_power supply_battery,7,True,3,mature,0.01,growing,"2,2,2,2,2,2,2,2,2,3,2,2,2,2,3",1.7058734060651308
74,74_target_foot_state data_landing,5,True,4,declining,8.705473741758006e-07,declining,"3,4,3,2,4",1.3752685687005235
75,75_chair_group_handle_movable,9,True,1,emerging,0.01,growing,"2,1,0,3,2,1,0,3,2,1,0,1,0,2,1",1.6965317454383173
76,76_elements_elements articulation_articulation_given,4,True,2,growing,0.01,growing,"2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2",2.2258014488679354
