"topic","covariate","coefficient","std_error","t_value","p_value","ci_lower","ci_upper"
1,"C1_std",-0.00588263636059962,0.00835636614301398,-0.703970632679561,0.481512914382414,-0.0222682969936112,0.0105030242724119
1,"C2_std",-0.00283518611280264,0.00214503022428091,-1.32174646338753,0.186366679412039,-0.00704128918453119,0.00137091695892592
1,"C3_std",0.000343136628258061,0.00173974197820343,0.197234206311677,0.843659389507071,-0.00306825310215456,0.00375452635867068
1,"C4_std",0.00539881553451673,0.007375582276551,0.731984992111205,0.464242455969277,-0.00906366565480439,0.0198612967238379
1,"C5_std",0.00145152341782504,0.00280130346469838,0.518160005196483,0.604389894017789,-0.00404143932663309,0.00694448616228317
1,"C6_std",-0.00369902983936416,0.00202180357243568,-1.82956934580342,0.0674266573132346,-0.00766350274990523,0.000265443071176905
1,"C7_std",0.00129698035633886,0.0023671418197186,0.547909865617192,0.583799940972396,-0.00334465236586361,0.00593861307854132
1,"C8_std",0.00130735462375623,0.00542291945977399,0.241079483745591,0.809512163851834,-0.00932622896835305,0.0119409382158655
1,"C9_std",0.002065525436135,0.00223916047876476,0.922455293277794,0.356375115274967,-0.00232515384717579,0.00645620471944578
1,"C10_std",-0.00218546021013318,0.00229926532671188,-0.950503704267377,0.341943050487441,-0.00669399666054328,0.00232307624027691
2,"C1_std",0.0984488774659909,0.0254459073291277,3.86894741824739,0.000111940526805638,0.048553026224154,0.148344728707828
2,"C2_std",0.0144549780112096,0.00653181530956028,2.2130108287129,0.0269818172517858,0.00164700536517604,0.0272629506572432
2,"C3_std",-0.0174634173741897,0.00529767513729248,-3.29643040043314,0.000992133389544833,-0.0278514144363085,-0.00707542031207103
2,"C4_std",-0.0389607698096004,0.0224593297966455,-1.73472539752364,0.0829057277354135,-0.0830003618756301,0.00507882225642937
2,"C5_std",-0.102376481719968,0.0085302279894798,-12.0016114277634,2.36605806723538e-32,-0.119103061020791,-0.0856499024191453
2,"C6_std",0.00178692135643634,0.00615657876419257,0.290245836994614,0.771650881562406,-0.0102852651136122,0.0138591078264849
2,"C7_std",-0.00888884066382569,0.0072081656486317,-1.23316265151496,0.217624461186801,-0.0230230413538891,0.00524536002623772
2,"C8_std",-0.11044469523406,0.0165132910244837,-6.68823041211515,2.74511137028187e-11,-0.142824940191081,-0.0780644502770395
2,"C9_std",-0.00650345011846437,0.00681845063542689,-0.953801745615659,0.340270997648538,-0.019873474390133,0.00686657415320428
2,"C10_std",0.00192722515157141,0.00700147545323866,0.275259859788544,0.783138060506463,-0.0118016850880834,0.0156561353912262
3,"C1_std",-0.0508736760775523,0.0231059781963613,-2.20175383380063,0.0277685824422257,-0.0961812548551841,-0.0055660972999205
3,"C2_std",-0.00871250964577213,0.00593116921213486,-1.46893628122206,0.14196876666092,-0.0203426996355031,0.00291768034395889
3,"C3_std",0.0164957424152425,0.00481051685956453,3.42909980295459,0.000614840236578136,0.00706299433058579,0.0259284904998991
3,"C4_std",0.0177675366428549,0.0203940373543744,0.871212322215535,0.383717150427601,-0.0222223069454505,0.0577573802311603
3,"C5_std",0.00698255850692958,0.00774581387040161,0.901462212203602,0.367424537074622,-0.00820589485123035,0.0221710118650895
3,"C6_std",0.000134797553679781,0.00559043829129952,0.0241121619908708,0.980764957693218,-0.0108272669446079,0.0110968620519675
3,"C7_std",-0.00935312585778864,0.00654532440752837,-1.42897819503503,0.153128361156787,-0.0221875879480346,0.00348133623245728
3,"C8_std",0.0368310330083736,0.0149947784304443,2.45625723509155,0.0141029899562659,0.00742837802372218,0.0662336879930251
3,"C9_std",0.00503662981006469,0.00619144641522753,0.813481934960686,0.416014882469666,-0.00710392722766259,0.017177186847792
3,"C10_std",-0.00234682161647903,0.00635764082107256,-0.369134036119252,0.712057311143869,-0.0148132625475968,0.0101196193146387
4,"C1_std",-0.0728348086172601,0.0341139500958543,-2.13504470788657,0.0328488293763394,-0.139727474586603,-0.00594214264791722
4,"C2_std",0.0257089951918702,0.00875685109686027,2.93587214256596,0.00335474311915234,0.00853803979914559,0.0428799505845948
4,"C3_std",-0.0148213119179373,0.00710230619486576,-2.08683088440366,0.0369987781530367,-0.0287479370836019,-0.000894686752272701
4,"C4_std",0.0453364391867609,0.0301100073170534,1.50569339653012,0.132265080508004,-0.0137050572138244,0.104377935587346
4,"C5_std",0.0787782516735422,0.0114360147655756,6.88861052459274,7.0114342064537e-12,0.0563538325258139,0.101202670821271
4,"C6_std",-0.0156220840250278,0.0082537917790201,-1.8927160320105,0.0585045231853404,-0.031806610733402,0.000562442683346464
4,"C7_std",0.0066676344503115,0.00966359737302802,0.689974363886628,0.490270727007668,-0.0122813230676495,0.0256165919682725
4,"C8_std",0.055310193572815,0.0221384751049027,2.49837413420431,0.0125365800178695,0.0118997525039328,0.0987206346416973
4,"C9_std",-0.00366012989193886,0.00914112755734746,-0.400402452430162,0.688892393692996,-0.0215845974648427,0.014264337680965
4,"C10_std",0.00509913410599572,0.0093864990200497,0.543241318739169,0.587009351771834,-0.0133064724510137,0.0235047406630052
