"topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10","topic_11","topic_12","doc_id"
0.959332244434801,0.00353531341234752,0.00459172390211723,0.00556444671379185,0.000530554532289959,0.00356623775395614,0.00254647143328396,0.00260621298417491,0.00780440482443032,0.00200185686448655,0.00313012523868615,0.00479040790563478,8242
0.000653892939747124,0.00185093784598912,0.000931130135222175,0.784947661808281,0.129042238630482,0.00882648799045486,0.0281318067393855,0.0406874345246124,0.000598357666046481,0.00175075015064017,0.00103355332269864,0.00154574824644024,719
0.000705514684466072,1.42424116723128e-05,0.00322332309730889,0.00244105467071963,0.985996977010451,0.00102235569854237,0.000229667221147423,0.000301068605218072,0.000545310574604089,0.00201187651047342,0.00174385301073298,0.00176475650466368,8921
0.00183908634820593,0.035463970116741,0.0500285215000985,0.00414079309300829,0.0574292350926903,0.024155189666645,0.045085842731631,0.643938142028771,0.0201990936945314,0.00487947623243572,0.0626739003980046,0.0501667490972372,4921
0.00150741411061542,0.0477071309736311,0.00256030813653399,0.12273705637849,0.766845504048423,0.00427787169944479,0.0101750663992742,0.0333009933313027,0.00204564216649304,0.0025780094351601,0.00379229153165005,0.002472711788981,604
0.000535776674033916,0.0826913868424353,0.000247298401153506,0.00189082422004377,0.000211276649609517,0.000573155801837023,0.544631306039832,0.363952085802763,0.00104960645713035,0.000194405046747205,0.00080600532334027,0.00321687274107395,2263
0.000615555015669345,0.000121297370210348,0.0022311875590206,0.0359694012678607,0.448884651897963,0.159892993718336,8.59296375912381e-05,0.000687970632880794,0.000179790430625639,0.349443141662206,0.000953728826564885,0.000934351981072077,74
0.000376377251617665,0.131624819363517,0.000555157183530418,0.00288699846203734,0.000131433656796625,0.000581377955740545,0.569693371559218,0.00409953556629017,0.00121199590430102,0.000226677825702403,0.00128914341903571,0.287323111852213,5030
0.00137411490351299,0.000896370028397312,0.00708885942232064,0.00544026206437339,0.243517261206078,0.301504941177124,0.000307463048681297,0.00400534355345008,0.00057344159749363,0.427393025505232,0.00423149812807237,0.0036674193652654,2887
0.000909933315409553,0.221132996336475,0.000669862673698045,0.00724737027165426,0.000296316309753085,0.00117855849600869,0.150457561300137,0.590030695271634,0.00590674000287887,0.000555962771701071,0.00116970365871401,0.0204442995919362,2818
