"doc_id","dominant_topic","max_prob"
2,2,0.46614555247202
5,4,0.661882556668813
6,4,0.408773310288644
7,7,0.553136680371813
11,5,0.46704946752911
12,5,0.379699055486408
15,4,0.566203504896772
16,5,0.585039670077492
17,2,0.41815232203637
22,2,0.662503607013124
30,2,0.522033436014162
32,5,0.836653425139627
36,6,0.400556313080129
38,10,0.362595618442774
43,7,0.750335178057211
45,12,0.297781422193657
51,7,0.409587846355558
61,2,0.521742607112646
65,3,0.271768201503483
68,10,0.466798101732612
69,5,0.355661239480147
76,4,0.27236338280117
81,5,0.603066998291338
83,6,0.393464318110901
84,5,0.407148545886485
88,5,0.321994226815444
90,10,0.398808209311824
95,5,0.498459742812042
99,2,0.393015379096551
102,7,0.654302196136961
104,9,0.769805737063646
108,2,0.622769873697652
110,4,0.414994596888375
119,4,0.701114480318195
129,5,0.709766160337835
130,4,0.547034951927337
133,10,0.855959453109509
140,4,0.768404182165679
143,5,0.374152548566438
146,10,0.829304450345065
148,2,0.685227774269561
149,5,0.299087891955649
150,5,0.404348333276402
156,6,0.800590933454537
157,9,0.321991927381724
159,5,0.475226975627841
163,4,0.682190219646782
170,7,0.576988500537985
171,2,0.396871484549798
176,11,0.469163223530411
184,5,0.299662397407379
185,7,0.639996825806193
186,8,0.414039988188244
201,7,0.920174135883744
203,5,0.611848841691801
204,5,0.62765916597081
206,4,0.397022673845639
209,5,0.680243842429518
213,9,0.777443635089859
215,5,0.32663541609889
216,3,0.631488745882439
232,6,0.320125415558275
234,5,0.460307460979775
235,5,0.602815886364095
236,12,0.376189288321964
240,5,0.325643727566471
245,9,0.400167103375084
246,2,0.552136203761001
247,10,0.570453963533155
249,6,0.683914598448595
251,2,0.468045893460144
255,5,0.749177781214452
257,7,0.434035744496755
259,4,0.581394224064054
264,5,0.511465150583063
269,5,0.964848798844768
274,5,0.694324412859693
280,10,0.704307230268786
288,2,0.46374027902121
300,4,0.562173690153971
301,4,0.675367173223039
302,7,0.500495283363454
304,7,0.559184261923428
306,4,0.458146230754053
313,4,0.505849979838262
314,4,0.91658034183386
325,7,0.606794469752968
326,7,0.396252884469301
329,10,0.480656567502917
331,8,0.776859857939296
332,5,0.84073218885486
335,5,0.598662819156057
339,5,0.364483583132442
349,4,0.762722615429544
352,5,0.815968260993066
353,5,0.372296128789439
357,5,0.761943090549998
358,7,0.333772682116787
361,4,0.925129913822662
363,7,0.555907592142094
365,3,0.409816432598336
367,12,0.298354766838002
368,11,0.267928483521769
372,12,0.261082273349957
374,2,0.496790558158628
376,4,0.601716949030134
378,4,0.490339075109327
394,2,0.880498792622046
399,3,0.46956885775145
402,12,0.368891920512633
406,9,0.40304575233276
407,10,0.24410748273836
409,4,0.613883625194646
410,9,0.587550409011965
411,6,0.555045246392043
412,5,0.330372038028526
416,2,0.281428199347904
436,4,0.500728407929467
439,9,0.596781847541784
440,5,0.747883768207202
441,3,0.411336872111582
443,5,0.638737062613715
445,7,0.694615726231116
448,11,0.981913018989449
449,3,0.377203121321325
455,4,0.802221391154645
456,3,0.38158696562542
458,7,0.895077450082824
459,5,0.769166458842186
462,6,0.754235563025645
463,4,0.38043772039425
472,9,0.764425747654106
473,9,0.438066143553553
475,10,0.557133984706805
477,5,0.486807845695247
478,11,0.309368324515149
480,7,0.355136418584093
482,12,0.256225146962558
484,4,0.946556966766289
485,5,0.490555673032738
487,12,0.251163415415182
495,9,0.620517516165616
497,2,0.549152350558152
498,6,0.427805231026598
500,4,0.622350032702302
508,5,0.518711748644912
512,4,0.733843156340954
513,7,0.458154238886123
