condition,speed_mps,delay_ms,offset_m,seed,rescue_c1,rescue_c2,c3_fault,config_sha256,initial_gap_m,t_start_s,perception_ok,planner_ok,monitor_ok,controller_ok,no_fault_flags,all_pass,nan_or_unstable,label,ordered_events,margin_breach,t_mismatch_s,trigger_t_s,breach_start_t_s,positive_cmd_during_delay,pos_cmd_runs_json,min_margin_m,peak_contact_force_n,gate_violations,first_gate_violation_t_s,reconciliation_logged,c3_fault_start_t_s,t_final_s
C0,0.3,0.0,0.0,1004,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7800352181096286,0.08520605248510527,True,True,True,True,True,True,False,CONTAINED,False,False,,2.0419999999999967,,False,"[(0.10200000000000008, 2.039999999999997)]",0.02053921810961573,0.0,0,,False,,2.19199999999998
C0,0.3,0.0,0.0,1005,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7832887669227158,0.11722248169554415,True,True,True,True,True,True,False,CONTAINED,False,False,,2.0819999999999923,,False,"[(0.1220000000000001, 2.0799999999999925)]",0.017792766922702652,0.0,0,,False,,2.231999999999976
C0,0.3,0.0,0.0,1006,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7934768573429131,0.1040342777519862,True,True,True,True,True,True,False,CONTAINED,False,False,,2.10199999999999,,False,"[(0.1220000000000001, 2.0999999999999903)]",0.02198085734289912,0.0,0,,False,,2.2519999999999736
C0,0.3,0.0,0.0,1007,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7828489974984355,0.11263921380711774,True,True,True,True,True,True,False,CONTAINED,False,False,,2.0819999999999923,,False,"[(0.1220000000000001, 2.0799999999999925)]",0.01735299749842245,0.0,0,,False,,2.231999999999976
C0,0.3,0.0,0.0,1008,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7866901099621848,0.11252202990915117,True,True,True,True,True,True,False,CONTAINED,False,False,,2.121999999999988,,False,"[(0.1220000000000001, 2.119999999999988)]",0.009194109962171626,0.0,0,,False,,2.2719999999999714
C0,0.3,0.0,0.0,1009,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7822600184821377,0.09307662350691448,True,True,True,True,True,True,False,CONTAINED,False,False,,2.0619999999999945,,False,"[(0.10200000000000008, 2.0599999999999947)]",0.016764018482124665,0.0,0,,False,,2.211999999999978
C0,0.45,0.0,0.0,1000,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8008554295190026,0.10415367388025319,True,True,True,True,True,True,False,CONTAINED,False,False,,1.5420000000000011,,False,"[(0.1220000000000001, 1.5400000000000011)]",0.012485429518996755,0.0,0,,False,,1.7660000000000013
C0,0.45,0.0,0.0,1001,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8045037971427981,0.08062801871281326,True,True,True,True,True,True,False,CONTAINED,False,False,,1.5220000000000011,,False,"[(0.10200000000000008, 1.5200000000000011)]",0.016133797142792283,0.0,0,,False,,1.7460000000000013
C0,0.45,0.0,0.0,1002,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7952328463793247,0.09428757350683789,True,True,True,True,True,True,False,CONTAINED,False,False,,1.5020000000000011,,False,"[(0.10200000000000008, 1.500000000000001)]",0.015862846379319007,0.0,0,,False,,1.7260000000000013
C0,0.45,0.0,0.0,1003,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7875102947307454,0.0902682324087529,True,True,True,True,True,True,False,CONTAINED,False,False,,1.482000000000001,,False,"[(0.10200000000000008, 1.480000000000001)]",0.01714029473073983,0.0,0,,False,,1.7060000000000013
C0,0.45,0.0,0.0,1004,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7800352181096286,0.08520605248510527,True,True,True,True,True,True,False,CONTAINED,False,False,,1.462000000000001,,False,"[(0.10200000000000008, 1.460000000000001)]",0.018665218109623155,0.0,0,,False,,1.6860000000000013
C0,0.45,0.0,0.0,1005,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7832887669227158,0.11722248169554415,True,True,True,True,True,True,False,CONTAINED,False,False,,1.5020000000000011,,False,"[(0.1220000000000001, 1.500000000000001)]",0.012918766922710184,0.0,0,,False,,1.7260000000000013
C0,0.45,0.0,0.0,1006,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7934768573429131,0.1040342777519862,True,True,True,True,True,True,False,CONTAINED,False,False,,1.5220000000000011,,False,"[(0.1220000000000001, 1.5200000000000011)]",0.01410685734290737,0.0,0,,False,,1.7460000000000013
C0,0.45,0.0,0.0,1007,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7828489974984355,0.11263921380711774,True,True,True,True,True,True,False,CONTAINED,False,False,,1.5020000000000011,,False,"[(0.1220000000000001, 1.500000000000001)]",0.012478997498429928,0.0,0,,False,,1.7260000000000013
C0,0.45,0.0,0.0,1008,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7866901099621848,0.11252202990915117,True,True,True,True,True,True,False,CONTAINED,False,False,,1.5020000000000011,,False,"[(0.1220000000000001, 1.500000000000001)]",0.016320109962179252,0.0,0,,False,,1.7260000000000013
C0,0.45,0.0,0.0,1009,False,False,False,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7822600184821377,0.09307662350691448,True,True,True,True,True,True,False,CONTAINED,False,False,,1.482000000000001,,False,"[(0.10200000000000008, 1.480000000000001)]",0.011890018482132086,0.0,0,,False,,1.7060000000000013
